Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Mgmt_SFP_contact_0.001
Fra:1 Mem:224.52M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_unpowered_corner_LED_5.001
Fra:1 Mem:224.54M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_unpowered_corner_LED_-5.001
Fra:1 Mem:224.56M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_metal_shield.001
Fra:1 Mem:224.60M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_keyed_plastic_body.001
Fra:1 Mem:224.61M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_deep_connector_stop.001
Fra:1 Mem:224.61M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_7.001
Fra:1 Mem:224.63M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_6.001
Fra:1 Mem:224.65M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_5.001
Fra:1 Mem:224.67M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_4.001
Fra:1 Mem:224.69M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_3.001
Fra:1 Mem:224.70M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_2.001
Fra:1 Mem:224.72M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_1.001
Fra:1 Mem:224.74M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_0.001
Fra:1 Mem:224.76M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_unpowered_corner_LED_5.001
Fra:1 Mem:224.78M (Peak 252.98M) | Time:00:00.52 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_unpowered_corner_LED_-5.001
