Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Project/rack-device-3d/Cisco-N9KC9336C-FX2/v001/qa/GLB-reimport-verification.blend"
Fra:1 Mem:223.98M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_2.001
Fra:1 Mem:223.99M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_1.001
Fra:1 Mem:224.01M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | MANAGEMENT_RJ45_contact_0.001
Fra:1 Mem:224.03M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_unpowered_corner_LED_5.001
Fra:1 Mem:224.05M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_unpowered_corner_LED_-5.001
Fra:1 Mem:224.07M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_metal_shield.001
Fra:1 Mem:224.09M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_keyed_plastic_body.001
Fra:1 Mem:224.16M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_deep_connector_stop.001
Fra:1 Mem:224.12M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_7.001
Fra:1 Mem:224.13M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_6.001
Fra:1 Mem:224.15M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_5.001
Fra:1 Mem:224.17M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_4.001
Fra:1 Mem:224.19M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_3.001
Fra:1 Mem:224.21M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_2.001
Fra:1 Mem:224.23M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_1.001
Fra:1 Mem:224.27M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | CONSOLE_RJ45_contact_0.001
Fra:1 Mem:224.29M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | REAR_BCN_unpowered_indicator.001
Fra:1 Mem:224.31M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | REAR_BCN_legend.001
Fra:1 Mem:224.33M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Console_terminal_symbol.001
Fra:1 Mem:224.36M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_module_divider_70.001
Fra:1 Mem:224.39M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_module_divider_160.001
Fra:1 Mem:224.41M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_module_divider_-20.001
Fra:1 Mem:224.44M (Peak 252.38M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_module_divider_-160.001
