Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:22 Mem:259.88M (Peak 259.88M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_00
Fra:22 Mem:259.91M (Peak 259.91M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_mapping_triangle_0
Fra:22 Mem:259.92M (Peak 259.92M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_01
Fra:22 Mem:259.93M (Peak 259.93M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_02
Fra:22 Mem:259.96M (Peak 259.96M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_03
Fra:22 Mem:260.05M (Peak 260.05M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_04
Fra:22 Mem:260.05M (Peak 260.05M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_05
Fra:22 Mem:260.19M (Peak 260.19M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_06
Fra:22 Mem:260.26M (Peak 260.26M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_08
Fra:22 Mem:260.27M (Peak 260.27M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_09
Fra:22 Mem:260.28M (Peak 260.28M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_10
Fra:22 Mem:260.41M (Peak 260.41M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_11
Fra:22 Mem:260.43M (Peak 260.43M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_12
Fra:22 Mem:260.43M (Peak 260.43M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_13
Fra:22 Mem:260.60M (Peak 260.60M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_14
Fra:22 Mem:260.62M (Peak 260.62M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_15
Fra:22 Mem:260.62M (Peak 260.62M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_16
Fra:22 Mem:260.64M (Peak 260.64M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_17
Fra:22 Mem:260.66M (Peak 260.66M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_18
Fra:22 Mem:260.54M (Peak 260.66M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_20
Fra:22 Mem:260.69M (Peak 260.69M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_21
Fra:22 Mem:260.70M (Peak 260.70M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_22
Fra:22 Mem:260.62M (Peak 260.70M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Bay_index_23
