Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/13-flat-punched-sheet-normals.blend"
Fra:22 Mem:258.31M (Peak 258.31M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Captive_screw_front_bead_-1
Fra:22 Mem:258.47M (Peak 258.47M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | C6400_official_badge
Fra:22 Mem:258.50M (Peak 258.50M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_3
Fra:22 Mem:258.76M (Peak 258.76M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_3
Fra:22 Mem:259.44M (Peak 259.44M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_node_number_3
Fra:22 Mem:259.45M (Peak 259.45M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_mapping_arrow_3
Fra:22 Mem:258.69M (Peak 259.45M) | Time:00:00.23 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_arc_4
Fra:22 Mem:259.41M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Power_symbol_stem_4
Fra:22 Mem:259.22M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | Front_node_number_4
Fra:22 Mem:258.92M (Peak 259.45M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_V002_MASTER, ViewLayer | Synchronizing object | EST_front_tag_blue_edge
