Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/model/09-material-and-label-review.blend"
Fra:22 Mem:303.14M (Peak 303.14M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.011
Fra:22 Mem:303.48M (Peak 303.48M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.011
Fra:22 Mem:303.48M (Peak 303.48M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.012
Fra:22 Mem:303.69M (Peak 303.69M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.012
Fra:22 Mem:303.69M (Peak 303.69M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.013
Fra:22 Mem:303.84M (Peak 303.84M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.013
Fra:22 Mem:303.77M (Peak 303.84M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.014
Fra:22 Mem:303.83M (Peak 303.84M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.014
Fra:22 Mem:303.91M (Peak 303.91M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.015
Fra:22 Mem:304.26M (Peak 304.26M) | Time:00:00.24 | Mem:0.00M, Peak:0.00M | C6420_4N_24SFF_v002_MASTER, ViewLayer | Synchronizing object | Front_cover_flush_screw_recess_floor.015
