Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:360.61M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_round_EPP_label_substrate.001
Fra:1 Mem:360.57M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.041
Fra:1 Mem:360.81M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.042
Fra:1 Mem:360.87M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.043
Fra:1 Mem:360.90M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_orange_release_paddle.001
Fra:1 Mem:361.73M (Peak 361.98M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_octagonal_fan_guard.001
Fra:1 Mem:362.18M (Peak 362.18M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.044
Fra:1 Mem:362.25M (Peak 362.25M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_latch_track.001
Fra:1 Mem:362.27M (Peak 362.27M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_internal_end.001
Fra:1 Mem:362.19M (Peak 362.27M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_horizontal_shell.002
Fra:1 Mem:362.07M (Peak 362.27M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.045
Fra:1 Mem:362.24M (Peak 362.27M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_front_sheet.001
Fra:1 Mem:362.35M (Peak 362.35M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.046
Fra:1 Mem:362.71M (Peak 362.71M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Front_cover_flush_screw_recessed_head.047
Fra:1 Mem:362.53M (Peak 362.71M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_flat_guard_crossbar_1.001
Fra:1 Mem:362.94M (Peak 362.94M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_flat_guard_crossbar_-1.001
Fra:1 Mem:363.09M (Peak 363.09M) | Time:00:00.49 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_shroud_metal_cavity.001
Fra:1 Mem:363.07M (Peak 363.09M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.008
Fra:1 Mem:363.24M (Peak 363.24M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Rear_cover_flush_screw_recessed_head.009
Fra:1 Mem:363.55M (Peak 363.55M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_shroud_dark_back.001
Fra:1 Mem:363.63M (Peak 363.63M) | Time:00:00.50 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_fan_screw_recessed_head.005
