Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend"
Scene switch for render: 'C6420_GLB_REIMPORT_QA' in file: '/root/Blender/DELL-C6420/v002/qa/GLB-reimport-verification.blend'
Fra:1 Mem:364.60M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_face_inset_-1.001
Fra:1 Mem:364.61M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_real_print_paper.001
Fra:1 Mem:364.82M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Control_face_bottom_clip_-1.001
Fra:1 Mem:364.70M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_green_upper_field.001
Fra:1 Mem:365.19M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_EPP_exact_letters.001
Fra:1 Mem:365.38M (Peak 365.46M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_efficiency_exact_letters.001
Fra:1 Mem:365.67M (Peak 365.67M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | DELL_EMC_official_badge.001
Fra:1 Mem:365.61M (Peak 365.67M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_button_lens_1.001
Fra:1 Mem:365.61M (Peak 365.67M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_6.001
Fra:1 Mem:365.66M (Peak 365.67M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_outer_white_print_1.001
Fra:1 Mem:365.72M (Peak 365.72M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_5.001
Fra:1 Mem:365.78M (Peak 365.78M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_4.001
Fra:1 Mem:365.79M (Peak 365.79M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | Power_symbol_arc_1.001
Fra:1 Mem:365.84M (Peak 365.84M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | C6420_GLB_REIMPORT_QA, ViewLayer | Synchronizing object | PSU1_curved_fan_vane_3.001
