Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/06-geometry-verified.blend"
Fra:1 Mem:101.42M (Peak 101.42M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.006
Fra:1 Mem:101.43M (Peak 101.43M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_recess_back
Fra:1 Mem:101.43M (Peak 101.43M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_horizontalwall
Fra:1 Mem:101.44M (Peak 101.44M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_horizontalwall.001
Fra:1 Mem:101.45M (Peak 101.45M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_micro_USB_tongue
Fra:1 Mem:101.46M (Peak 101.46M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_recess_back
Fra:1 Mem:101.46M (Peak 101.46M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall
Fra:1 Mem:101.47M (Peak 101.47M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_horizontalwall
Fra:1 Mem:101.47M (Peak 101.47M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall.001
Fra:1 Mem:101.48M (Peak 101.48M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_horizontalwall.001
Fra:1 Mem:101.49M (Peak 101.49M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_tongue
Fra:1 Mem:101.50M (Peak 101.50M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_iDRAC_RJ45_horizontalwall.001
Fra:1 Mem:101.59M (Peak 101.59M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact
Fra:1 Mem:101.59M (Peak 101.59M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.001
Fra:1 Mem:101.60M (Peak 101.60M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.002
Fra:1 Mem:101.61M (Peak 101.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.003
Fra:1 Mem:101.61M (Peak 101.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.004
Fra:1 Mem:101.61M (Peak 101.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.005
Fra:1 Mem:101.61M (Peak 101.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_contact.006
Fra:1 Mem:101.61M (Peak 101.61M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_indicator
Fra:1 Mem:101.77M (Peak 101.77M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_RJ45_indicator.001
Fra:1 Mem:101.79M (Peak 101.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_long_grip_sidewall
