Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/07-finish-reviewed.blend"
Fra:1 Mem:100.48M (Peak 100.48M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_sidewall.001
Fra:1 Mem:100.49M (Peak 100.49M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_long_grip_horizontalwall.001
Fra:1 Mem:100.49M (Peak 100.49M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_grip_lower_rail
Fra:1 Mem:100.50M (Peak 100.50M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_grip_upper_rail
Fra:1 Mem:100.51M (Peak 100.51M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_blue_release_paddle
Fra:1 Mem:100.51M (Peak 100.51M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_handle_hinge
Fra:1 Mem:100.52M (Peak 100.52M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_rear_power
Fra:1 Mem:100.52M (Peak 100.52M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_outer_release_lock
Fra:1 Mem:100.55M (Peak 100.55M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_iDRAC_mark
Fra:1 Mem:100.57M (Peak 100.57M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_EST_mark
Fra:1 Mem:100.57M (Peak 100.57M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node1_EST_strip
Fra:1 Mem:100.59M (Peak 100.59M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_floor
Fra:1 Mem:100.60M (Peak 100.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_side_rail.001
Fra:1 Mem:100.60M (Peak 100.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_internal_air_baffle
Fra:1 Mem:100.60M (Peak 100.60M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_horizontal_lip
Fra:1 Mem:100.61M (Peak 100.61M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_horizontal_lip.001
Fra:1 Mem:100.62M (Peak 100.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_rear_vertical_lip
Fra:1 Mem:100.62M (Peak 100.62M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Node2_USB3_0_recess_back
