Blender 4.0.2
Read prefs: "/root/.config/blender/4.0/config/userpref.blend"
Read blend: "/root/Blender/DELL-C6420/v001/model/DELL-PowerEdge-C6420-4N-24SFF.blend"
Fra:1 Mem:108.68M (Peak 108.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_1_horizontalwall
Fra:1 Mem:108.68M (Peak 108.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_1_sidewall.001
Fra:1 Mem:108.69M (Peak 108.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB3_1_tongue
Fra:1 Mem:108.70M (Peak 108.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB_contact.004
Fra:1 Mem:108.70M (Peak 108.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB_contact.005
Fra:1 Mem:108.86M (Peak 108.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_USB_contact.007
Fra:1 Mem:108.86M (Peak 108.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_0_recess_back
Fra:1 Mem:108.86M (Peak 108.86M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_0_sidewall
Fra:1 Mem:108.87M (Peak 108.87M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_0_sidewall.001
Fra:1 Mem:108.88M (Peak 108.88M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_0_horizontalwall.001
Fra:1 Mem:108.88M (Peak 108.88M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_retention
Fra:1 Mem:108.89M (Peak 108.89M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact
Fra:1 Mem:108.90M (Peak 108.90M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.001
Fra:1 Mem:108.90M (Peak 108.90M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.002
Fra:1 Mem:108.90M (Peak 108.90M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_1_recess_back
Fra:1 Mem:108.90M (Peak 108.90M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall
Fra:1 Mem:109.06M (Peak 109.06M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_1_sidewall.001
Fra:1 Mem:109.06M (Peak 109.06M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_1_horizontalwall.001
Fra:1 Mem:109.07M (Peak 109.07M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_retention.001
Fra:1 Mem:109.07M (Peak 109.07M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.004
Fra:1 Mem:109.08M (Peak 109.08M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.005
Fra:1 Mem:109.08M (Peak 109.08M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_SFP_inner_contact.006
Fra:1 Mem:109.09M (Peak 109.09M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_micro_USB_recess_back
Fra:1 Mem:109.09M (Peak 109.09M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_micro_USB_horizontalwall
Fra:1 Mem:109.11M (Peak 109.11M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_micro_USB_sidewall.001
Fra:1 Mem:109.11M (Peak 109.11M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_micro_USB_tongue
Fra:1 Mem:109.12M (Peak 109.12M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_recess_back
Fra:1 Mem:109.13M (Peak 109.13M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall
Fra:1 Mem:109.13M (Peak 109.13M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_horizontalwall
Fra:1 Mem:109.14M (Peak 109.14M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_sidewall.001
Fra:1 Mem:109.15M (Peak 109.15M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | DELL_C6420_4N_24SFF_MASTER, ViewLayer | Synchronizing object | Node2_mini_DisplayPort_tongue
